lineID,day,pid,adFlag,availability,competitorPrice,click,basket,order,price,revenue,pid.1,manufacturer,group,content,unit,pharmForm,genericProduct,salesIndex,category,campaignIndex,rrp
2764,1,13194,0,2,42.14,1,0,0,48.74,0,13194,Manu198,2FOI,4000,ST,TAB,0,40,171,,52.69
2875,1,6200,0,1,6.59,1,0,0,8.27,0,6200,Manu1,2FOI,200,ST,TAB,0,40,171,,9.19
3473,1,13717,0,1,11.14,0,0,1,13.27,13.27,13717,Manu1,2FOI,420,ST,TAB,0,40,171,,14.74
4363,1,13313,0,1,6.59,1,0,0,8.49,0,13313,Manu1,2FOI,200,ST,TAB,0,40,171,,9.19
8253,1,746,0,1,20.79,0,1,0,21.95,0,746,Manu1,2FOI,1000,ST,TAB,0,40,171,,28.55
8386,1,744,0,1,22.84,0,0,1,21.95,21.95,744,Manu1,2FOI,1000,ST,TAB,0,40,171,,28.55
11219,1,13193,0,1,13.73,0,0,1,15.9,15.9,13193,Manu198,2FOI,1000,ST,TAB,0,40,171,,20.35
14042,1,10145,0,1,6.55,0,1,0,7.57,0,10145,Manu193,2FOI,200,ST,TAB,0,40,171,,8.18
15498,1,13716,0,1,11.79,1,0,0,10.95,0,13716,Manu1,2FOI,420,ST,TAB,0,40,171,,14.74
16560,1,13313,0,1,6.59,0,0,1,8.49,8.49,13313,Manu1,2FOI,200,ST,TAB,0,40,171,,9.19
17606,1,6197,0,1,6.48,1,0,0,8.49,0,6197,Manu1,2FOI,200,ST,TAB,0,40,171,,9.19
17612,1,13193,0,1,13.73,1,0,0,15.9,0,13193,Manu198,2FOI,1000,ST,TAB,0,40,171,,20.35
26077,2,6200,0,1,6.56,0,1,0,6.55,0,6200,Manu1,2FOI,200,ST,TAB,0,40,171,,9.19
31771,2,6200,0,1,6.56,0,0,1,6.55,6.55,6200,Manu1,2FOI,200,ST,TAB,0,40,171,,9.19
31910,2,6200,0,1,6.56,0,0,1,6.55,6.55,6200,Manu1,2FOI,200,ST,TAB,0,40,171,,9.19
32600,2,743,0,1,3.78,0,1,0,3.25,0,743,Manu1,2FOI,80,ST,TAB,0,40,171,,4.73
32795,2,743,0,1,3.78,0,0,1,3.25,3.25,743,Manu1,2FOI,80,ST,TAB,0,40,171,,4.73
35259,2,6200,0,1,6.56,0,1,0,6.55,0,6200,Manu1,2FOI,200,ST,TAB,0,40,171,,9.19
35667,2,6200,0,1,6.56,0,1,0,6.55,0,6200,Manu1,2FOI,200,ST,TAB,0,40,171,,9.19
37751,3,13193,0,1,13.73,0,0,1,15.9,15.9,13193,Manu198,2FOI,1000,ST,TAB,0,40,171,,20.35
38126,3,6200,0,1,6.56,0,0,1,6.55,6.55,6200,Manu1,2FOI,200,ST,TAB,0,40,171,,9.19
39693,3,13716,0,1,11.79,0,0,1,10.95,10.95,13716,Manu1,2FOI,420,ST,TAB,0,40,171,,14.74
39694,3,13717,0,1,11.14,0,0,1,10.95,10.95,13717,Manu1,2FOI,420,ST,TAB,0,40,171,,14.74
